40.01333,75.1,50,.3766667,3.976667,0,0,43.97333,0,0,32.05333,95.02666,50.00667,.4766667,8.013333,30.12,45.15667,50,.4233333,10.55,0,0,43.97333,0,0,0,0,43.97333,0,0,47.63334,84.45,50.00666,.6166667,14.19667
41.75,100,50,.755,10.37,0,0,41.49,0,0,35.685,100,50,.78,5.485,35.945,100,50.00001,.785,6.005,0,0,41.49,0,0,0,0,41.49,0,0,34.435,100,50,.765,4.585
43.82,34.80125,50,.2525,11.64375,0,2.1225,50,0,0,34.74125,23.32875,50.00375,.2125,13.31625,40.625,73.50375,50.00375,.44625,18.46,0,2.1225,50,0,0,0,2.1225,50,0,0,21,8.06,50,.13875,8.9875
50,93.50249,50.00001,.7841667,19.89,0,0,47.3175,0,0,50,73.34333,50.00001,.4316667,15.1875,38.3875,91.9425,50,.5,13.48583,0,0,47.3175,0,0,0,0,47.3175,0,0,50,34.90667,50,.2716667,11.73583
39.05667,99.99,50.01001,.9883333,2.906667,0,0,45.89167,0,0,39.225,89.86333,50.00833,.57,3.131667,43.83333,98.50667,50.00834,.6716667,3.556667,0,0,45.89167,0,0,0,0,45.89167,0,0,46.64167,86.99833,50.00834,.5366666,3.35
31.06958,91.62,50,.43,.9291667,0,0,37.79,0,0,29.9625,76.97,50.00709,.36,.1008333,45.9425,37.94,50.01,.26,.86,0,0,37.79,0,0,0,0,37.79,0,0,7.72125,0,49.86,.09,1.537083
49.82375,23.42292,50.00041,.2204167,2.718333,47.48208,15.54,50.00042,.1991667,14.72958,38.80458,9.28,50.01,.1704167,7.5325,33.21791,6.91,50.01,.18,.01125,0,0,48.95333,0,0,0,0,48.95333,0,0,4.458334E-02,7.28,50,.09,7.666667E-02
13.5375,0,42.27416,.1258333,5.220833,20.83333,8.616667,41.12417,.1475,9.433332,20.83333,1.541667,41.27417,.1366667,8.054167,20.83333,4.495833,40.73,.1116667,8.895833,0,0,38.78917,0,0,0,0,38.78917,0,0,20.83333,10.5625,39.74,.0875,9.499999
39.86083,66.11292,50,.3920833,.7104167,39.09417,89.50875,50.00959,.5583333,1.059167,38.73666,59.67,50,.3583333,.4108333,14.7675,9.12,50.00042,.1416667,.5804167,0,0,43.94125,0,0,35.03083,2.676667,50,.1716667,.54125,35.31875,6.02,50.00958,.1891667,.1033333
36.76667,92.46,50,.59,5.643333,32.26,99.57667,50.00667,.7633333,13.34667,24.60667,67.22666,50,.3733333,9.283334,37.79333,31.73667,50.00666,.2533333,8.570001,0,0,41.20667,0,0,34.83333,39.75333,50,.29,9.540001,39.03333,39.30333,50.00667,.29,10.00333
30.81125,4.2,50,.155,4.955,42.60625,36.4475,48.87,.2775,10.005,31.1625,18.36,48.75001,.19375,10.48375,18.75,10.1775,45.98,.13625,9.425,29.86,27.56,50,.21,2.4375,36.415,7.42,47.57001,.18,.2725,14.285,11.87,47.19,.14,.08
50,43.79042,50,.30375,14.58,33.35417,24.23667,50,.2083333,7.990833,41.21667,22.41458,50.00708,.2183333,8.11875,19.90292,9.449167,50.00709,.135,6.2,17.62875,4.38,50,.1204167,4.69875,7.513333,4.51,50.00291,.1016667,3.152917,10.365,7.53,50.00292,.1216667,3.231667
50,80.88208,50,.4683333,9.6025,50,63.44459,49.99999,.3670833,8.518333,50,51.41459,50,.32125,9.694583,50,61.73833,50,.36125,10.82042,50,59.04,49.99999,.3470833,7.93375,49.09292,12.7625,50.00292,.1970833,4.90125,44.62959,10.09,50.00708,.18,4.793333
40.14125,99.99,50.01,.99,1.090417,46.45125,78.83,50,.46,2.99625,40.21917,71.88,50.00292,.41,.9133334,47.195,91.4,50.00999,.5629166,4.09125,48.15958,97.04,50.00291,.6654167,7.677917,40.14125,72.97,50.00999,.42,3.056667,48.15958,55.9625,50.00292,.34,5.036666
50,99.99,50.00709,.98,5.075833,50,83.37959,50.00001,.4841667,2.4525,44.51333,71.88,50.01001,.3941667,3.434583,38.93375,98.08,50.00999,.55375,9.017917,35.91042,91.72,50.00999,.4625,6.247917,45.27208,97.10083,50.00293,.6629167,13.27667,41.34,88.78,50.00001,.4754167,5.81625
49.6625,100,50.00001,.8454167,2.250417,49.01083,99.99,50.01,.7775,2.352917,48.53125,90.18166,50.0021,.5679167,4.207084,48.19167,100,50,.7975,7.372917,43.985,98.59,50,.62125,1.089167,43.17417,99.99,50.01,.68125,.89125,49.78125,100,50,.87125,1.824583
36.75125,1.25,50,.15,4.16125,50,22.53375,49.92125,.22375,7.465,33.24375,1.91125,48.56,.13875,4.9275,39.28125,3.92125,46.08,.1525,6.22375,50,13.65875,48.28,.1975,9.90625,22.0125,5.37,50.01,.13,2.84625,8.975,0,48.05125,.0875,2.54125
44.885,4.535,50,.17,4.37,49.385,35.72,49.93,.265,4.195,48.635,17.825,48.56,.21,4.41,49.68,38.21,46.08501,.26,7.27,50,41.045,48.28001,.275,4.345,34.085,5.37,50.01,.145,4.335,38.99,0,48.06001,.14,3.555
50,67.11083,49.99999,.395,4.477917,24.73,19.73417,50.00792,.16875,4.009583,19.18667,14.77,50.00208,.1404167,2.595833,18.70542,25.10291,50.00791,.1804167,6.604167,18.96667,12.51708,50,.13875,4.3725,32.67167,37.79,50.00209,.2383333,1.986667,28.78333,14.07,50.00792,.1620833,.53
49.21625,91.53375,50.00375,.59625,9.20625,49.21625,36.87,50.00374,.265,8.4175,44.885,19.92,50.00375,.21125,8.158751,49.21625,87.17,50.00375,.5725,16.29,49.21625,41.6425,50.00375,.29125,14.47,48.41,65.815,50.00376,.40125,17.055,44.44625,49.42625,50.00375,.31375,18.06125
49.99,100,50,.9704167,13.89583,22.99417,90.64792,50.00957,.5695834,.9454167,17.54125,82.70792,50.00001,.4916667,.98,18.02958,100,50,.6541666,.9958333,19.10333,72.47708,50.0096,.4120833,1.202083,35.59917,86.51,50.01,.4504167,1.33375,23.26917,94.01,50.01,.4208333,.4225
49.99375,100,50.00001,.98,13.00125,49.99375,99.99,50.01001,.98,8.7975,50,98.595,50,.86,9.50875,49.99,100,50.00376,.98,11.92125,49.7075,99.83625,50.00375,.90125,9.47625,46.3775,87.87875,50.00375,.51625,5.49375,37.79,94.01,50.00999,.49625,5.72
31.42916,12.90083,50.00417,.1725,11.0525,30.47083,2.9675,50,.1325,11.69667,26.9425,4.77,50.01,.1333333,6.588333,0,0,45.845,.08,0,0,0,46.095,.08,0,0,0,46.695,.08,0,0,0,46.97917,.09,0
48.525,92.06667,50.00167,.6733333,23.13333,48.525,91.57333,50.00167,.8766667,32.97167,48.525,89.48833,50.00166,.87,30.355,50,83.69667,49.99998,.4933333,10.68833,46.86833,43.78,50.00166,.29,.7550001,49.57667,60.29667,50.00166,.355,4.956666,46.66,32.75,50.00834,.26,.46
48.82458,44.57584,49.99998,.3283333,14.23417,50,92.32542,50.00001,.7254167,25.16917,50,62.66542,50,.4075,18.23542,0,8.204583,50,.1,0,0,8.2475,50,.13,0,0,8.918333,50,.11,0,0,8.515833,50,.1,0
42.625,99.035,50,.8,11.42,44.625,99.99,50.005,.895,12.305,49.49,99.99,50.005,.85,21.19,35.98,6.32,49.45501,.18,.03,29.395,.18,50.005,.16,.025,20.705,0,49.92,.14,.02,13.865,0,49.29,.12,.015
50,93.50999,50.00002,.76,20.265,49.995,100,49.99999,.98,18.56,49.995,99.99,50.00999,.98,19.245,3.22,3.99,50.005,.085,.535,1.585,7.66,50,.09,.2,19.88,5.38,50.01001,.12,7.42,1.455,5.4,50.005,.085,.49
50,10.33042,50,.1991667,15.24,32.83625,8.252084,50.00958,.15625,10.61042,40.31125,9.894584,50.00958,.1795833,12.06667,0,8.655,50,.1,0,0,8.665,50,.1,0,0,7.025417,50,.1,0,0,9.105,50,.1,0
