呈村	上溪口	五城	黟县	岩前	儒村	休宁	石门	屯溪
20.5	8	1	0.5	0.5	0	0	0	0
0.5	41.5	5	18.5	11.5	0.5	0	0	2
1	2	2	65	6	5.5	4	1.5	3.5
0.5	0	0	8.5	0.5	35.5	4	0.5	3.5
2	0	0	40	0	16	0	0	0
0.5	1.5	1.5	2.5	2	3	2.5	3.5	1.5
0	0	0	3	0.5	1	1	2	1.5
0.5	0	0	10	11	0.5	3	0	3
1	1.5	0	2	2	0.5	1.5	0.5	1
3	2	1.5	3.5	4	4.5	4	4.5	3
1	1	1	1	1	0.5	0.5	1	1.5
2	1	1	1	0.5	1	0.5	1	0.5
18.5	5.5	4	3	3	2	1.5	2	2
27	12.5	5	3.5	5.5	3	5.5	4.5	5.5
13.5	8.5	11.5	22	18	16	9	5	5
23	35	9.5	21.5	16.5	10.5	13	7	11
13.5	23	14	15	18	12	17	11.5	9
7	9	15	3.5	5	4.5	7	14.5	19
25	21.5	9	5	7.5	5	7.5	5	7.5
12.5	25.5	16	3	6	4	16	13	24
11	10	12	6	7.5	4.5	11	5	22
3	4	2	17.5	4.5	9	4.5	2.5	11
2.5	1	0.5	10.5	2	19.5	2.5	1	1.5
26	5	1.5	12	7.5	7	5.5	1	3.5
4	3.5	5.5	7	4.5	8.5	4	2.5	4.5
21	11.5	3.5	2	5	2.5	5	3	3
0.5	0.5	2.5	1	1	0.5	1.5	4	5.5
0	0	0.5	0.5	0.5	1.5	0	0.5	0
9.5	1.5	0	1	1	0.5	1.5	1	0.5
0	0	0	2	5	3	2.5	0	2.5
0	0	0	0.5	0	1	0	0.5	0
0	0	0	0	0	0	0	0	0
0	0	0.5	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.5	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	4	0	4	0	0	0
1	0	0	0	0.5	0.5	0.5	0	1
0	0	0	0	0	0	0	0	0.5
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	16	0.5	5	0	0	0
0	0	0	0	0	0.5	0	0	0
0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	0	0
0	0	0	2	0.5	0.5	0	0	0
0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
0	0	0	0	0.5	0	0	0	0
15	9	0	0	4	0.5	0	2	0
12	2.5	13.5	4.5	3	4	5.5	4	5.5
15.5	12.5	3.5	0.5	17	0	10	12	6
0.5	2	11	2	2.5	2.5	4.5	5.5	6
0	0.5	2.5	1	0	1.5	0.5	1.5	9
0	1.5	4	1.5	0	0.5	0	20.5	23.5
0	0	1.5	0	0	0	3	8.5	3.5
0	0.5	0	0	0.5	0	0	0.5	0
3.5	1	0	0	0	0	0	0	0
9	0	5.5	0	1	0	1.5	2	3.5
0	0.5	4.5	0	3	0.5	4	13	1
0	0	0.5	0	3	0	0	2.5	0.5
0	0	0	1	0	0.5	0	0	0
0.5	0	2	0.5	2	0.5	0	0.5	0.5
0	0	1	0	1	0	0	3	0
0	1.5	0	1	0.5	2	0	0	0.5
2.5	0.5	0	0.5	0.5	0	1	3.5	2.5
0	0	1.5	0	0	0	0	5.5	2.5
0	0.5	0	0	0.5	0	0.5	0	0.5
2.5	0.5	0	1.5	1	1	0	0	0.5
4	4	1.5	1.5	3	1.5	6	0	0.5
0.5	0	1	0	0.5	0	0.5	1	1.5
0	0.5	0	0.5	0	1.5	0	0.5	0.5
2	0.5	0.5	3.5	1	2	0	0	0
2.5	3.5	0.5	5	3.5	5.5	1.5	0	0
7.5	5.5	4	1.5	9.5	2.5	6	0.5	3.5
1	0.5	6.5	4.5	1.5	6	6	11	5.5
4	3	1	1.5	12	1.5	8.5	0.5	1.5
1	1.5	1.5	2	3	5.5	3.5	1	1
5.5	1	0.5	6	4	4	2	0.5	0.5
8	5.5	6.5	4.5	8	3	8.5	2	5
2.5	3.5	5	1.5	3	1.5	4	6	6
0.5	0.5	1	0	0.5	0	1	1	0.5
0	0	0	0	0	0	0	0	0.5
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0.5	0	0	0.5	0	0	0
0	0	0.5	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0.5	0	0	1	0	0
0	0	0	0	0	0.5	0	0	0
0	0	0	0.5	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0.5	0	0	0	0.5	0	0	0	0
0	0	0	1	0	0.5	0	0	0
0	0	0	0.5	0	0.5	0	0	0
0	0	0	0.5	0.5	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0.5	0	0.5	0	0	0
0	0.5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
7.5	0.5	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
3	0	1	0	1.5	0	0	0	0.5
0	4	1	0	1	0	2.5	1	20.5
0	1	20	0	0	0	0.5	13	12.5
6.5	7.5	1	2	18	1	17.5	0	3.5
0	0	0	0	6.5	0	1.5	0.5	0
0	0	0	0	0	0	0	0.5	0
0	0	0.5	0	0	0	0	0.5	0
0	0	2	0	0	0	0	2.5	1.5
0	2.5	2.5	0	0	0	0.5	3.5	1.5
0	0.5	1.5	0	0	0	2	2.5	2.5
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.5	0	0	0.5
0	0	1	0	0	0	0	0	0
0.5	0	0	0	0	0.5	0	0	0
1.5	1	0	1.5	1.5	1	1.5	0	0
0	0.5	3	0.5	1	1.5	1.5	2	1
0.5	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
3	4.5	3	15.5	5.5	14.5	1	1	2
0	0	1.5	0	0.5	0	0.5	2	1.5
0	0	0.5	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
